Recall Number,Product Safety Warning Number,Date,Product Safety Warning Date,Recall Heading,Name of product,Description,Hazard Description,Consumer Action,Original Product Safety Warning Announcement,Remedy Type,Units,Incidents,Remedy,Sold At Label,Sold At,Importers,Manufacturers,Distributors,Manufactured In,Custom Label,Custom Field
26-323,,12-Mar-26,,17 Stories Furniture 14-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units; Imported by Hong Kong Baojia International,17 Stories Furniture 14-Drawer Dressers,"This recall involves 17 Stories Furniture 14-Drawer Dressers. The recalled dressers were sold in the following colors: black, white, and brown. They have 14 fabric drawers and are 11.8 inches long by 37.4 inches wide by 52.2 inches tall. They have a metal frame, wooden top and 14 collapsable fabric drawers. Model numbers 55SCDR14KDBRDL, 55SCDR14KDCHDL, 55SCDR14KDPDL, 55SCDR14KDWPVCDL, and 55SCDR14KDGDL can be found on the product’s packaging, or on the order information in your Wayfair account.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Act.",,,Refund,"About 3,000",None reported,Consumers should immediately stop using the recalled dressers if they are not anchored to the wall and place them in an area that children cannot access. Contact Hong Kong Baojia International for instructions on how to identify affected units and dispose of the dressers to receive a full refund. Consumers will be asked to submit a photo to&nbsp;Baojia_recall@outlook.com demonstrating disposal of the product.,Sold Online At,Wayfair.com from September 2023 through January 2026 for about $135.,"Hong Kong Baojia International Limited, of China",,,China,,
26-321,,12-Mar-26,,LIVEHOM 11-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units; Sold on Amazon by Simplehome,LIVEHOM 11-Drawer Dressers,"This recall involves LIVEHOM-branded 11-Drawer Dressers. The recalled dressers are made of fabric and were sold in black, white, pink, rustic brown and charcoal black. They measure about 11.8 inches long, 39 inches wide and 46 inches tall and have 11 fabric drawers.&nbsp; The brand name can be found on the product sale receipt.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory safety standard as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Act.",,,Refund,About 370,None reported,Consumers should immediately stop using the recalled dressers if they are not anchored to the wall and place them in an area that children cannot access. Contact Simplehome for a full refund. Consumers will be asked to write “RECALL” with permanent marker on the dressers and send a photo of the marked dressers to livehomerecall@163.com. Consumers should then dispose of the recalled product.,Sold Online At,Amazon.com from December 2025 through January 2026 for about $110.,,,,China,Retailer:,"Shenzhen Lvmukeji Co., Ltd., dba Simplehome, of China"
26-320,,12-Mar-26,,ProRider Recalls Bicycle Helmets Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets,ProRider Bicycle Helmets,"This recall involves ProRider Economy, Bike Helmets with turn ring, Bike Helmets Black Foam, BMX Helmet and Toddler Bike Helmets. The helmets were sold in the following colors: blue, green, red, black, and purple. The model number, date of manufacture in MM/YYYY format, and serial number can be found on a label inside the helmet.Model NumberModel NameSize(s)Manufacture DateSerial Number(s)BG-W/10BICYCLEEconomy Bicycle HelmetS/M (Small/Medium)12/202200158202 and 00158287L/XL (Large/Xtra-Large)04/202200094738 and 00094811BG-14BICYCLEBike Helmet with turn ringS/M (Small/Medium)12/202200141944 and 00140406L/XL (Large/Xtra-Large)10/202200134699 and 00134652BG-14BICYCLEBike Helmet Black FoamL/XL (Large/Xtra-Large)12/202200145398SPORT HELMETBMX HelmetXS (Xtra-Small)09/202200127689BM-5TODDLERToddler Bike HelmetXXS (Xtra-Xtra-Small)09/2022None","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets&nbsp;because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 9,546",None reported,Consumers should immediately stop using the recalled helmets and contact ProRider for a full refund. Consumers should destroy the helmet by cutting the straps and sending a photo of the destroyed helmet to&nbsp;org@prorider.com to obtain a refund.,Sold At,"Distributed by Wisconsin Bike Federation, Kiwanis Club, Foster Love nationwide, and sold online at ProRider.com from June 2022 through May 2023 for between $5 and $18.","ProRider, Inc., of Kent, Washington",,,China,,
26-319,,12-Mar-26,,Stoney Games Recalls Kluster Magnet Chess Games Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys,Kluster Fun Tabletop Magnet Chess Games,"This recall involves the Kluster Fun Tabletop Magnet Chess Games with small, loose magnets about .5 to one inch wide and .3 to .4 inches high. The games are sold in a black box with the word “Kluster” on the front of the box. The games include about 24 magnets, an orange string, an instruction manual and a black storage pouch with “Kluster” printed on the front. The games were also sold in a white pouch with gameplay instructions printed on the back.","The recalled magnet games violate the https://www.ecfr.gov/current/title-16/chapter-II/subchapter-B/part-1250… lang=""EN-US"">mandatory standard for toys because they contain loose high-powered magnets that fit within CPSC’s small parts cylinder, posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Replace,"About 151,600",None reported,"Consumers should immediately stop using the recalled magnet games, take them away from children and contact Stoney Games for instructions on how to dispose of the recalled magnets and receive replacement magnets that are not small parts.",Sold At,"Independent game shops nationwide, and online at Klustermagnets.com, Amazon.com, and Etsy.com from October 2018 to September 2025 for between $15 and $20.","Stoney Games, LLC of Bexley, Ohio",,,China,,
26-317,,5-Mar-26,,Cubimana Island Storm 3 In 1 Building Sets Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Toys; Sold on Amazon by RBS Toys,Cubimana Island Storm 3 In 1 Building Sets with LED Lights,This recall involves Cubimana&nbsp;Island Storm 3 In 1 Building Sets. The sets contain 781 pieces of multi-colored building blocks and come in a black box with images of a pirate base and a pirate ship. Model number “HG1004” is printed on the front of the box.,"The&nbsp;Island Storm Building Sets&nbsp;violate the mandatory safety standard for toys&nbsp;because the battery compartment within the LED light piece&nbsp;contains button cell batteries that can be easily accessed by children. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 3,950",None reported,"Consumers should take the&nbsp;Island Storm 3 In 1 Building Sets away&nbsp;from children immediately, stop using the&nbsp;recalled toys and remove and properly dispose of the batteries.&nbsp;Consumers will be asked to throw the&nbsp;product away and send a photo of the disposed product to&nbsp;productrecall@cubimanatoys.com&nbsp;to receive a full refund.Note:&nbsp;Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;",Sold Online At,Amazon.com from October 2025 through January 2026 for about $30.,,,,China,Seller:,"Shenzhen Ruibosi Technology Co., Ltd., dba RBS Toys, of China"
26-315,,5-Mar-26,,HALO Dream Recalls Magic Sleepsuits Due to Choking Hazard,HALO Magic Sleepsuits,"This recall involves HALO Magic Sleepsuit with batch codes PO30592, PO30641 and PO30685. The recalled infant sleepsuit shell and lining are made from 100% cotton and the fill is made from 100% polyester. It has double zippers running down each side of the front of the garment. It was sold in a variety of colors in small and large sizes. “HALO Magic Sleepsuit” is printed on the front of the sleepsuit. The batch codes and “Made in India” are printed on the sewn-in label inside the garment and the hang tag affixed to the outside of the sleepsuit.","The zipper head can detach from certain sleepsuits, posing a choking hazard to infants.",,,"Refund, Replace","About 45,000",The firm has received 15 reports of the zipper head detaching from the garment. No injuries have been reported.,"Consumers should stop using the recalled HALO Magic Sleepsuit immediately and go to the firm’s website at&nbsp;http://www.sleepsuitrecall.com to participate in the recall. After registering, consumers will receive a coupon code that can be applied towards a replacement sleepsuit or a $50 store credit to purchase another item on the firm’s website. Do not discard the recalled garment until you have received the coupon code.",Sold At,"Halosleep.com, Amazon.com, Walmart.com and Target.com from September 2025 through February 2026 for about $50.","HALO Dream, Inc., of New York City",,,India,,
26-312,,5-Mar-26,,Tomum Minoxidil Hair Serum Spray Bottles Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Distributed by Belleka,Tomum Hair Regrowth Treatment with Minoxidil for Men and Women Spray Bottles,"This recall involves spray bottles for Tomum Minoxidil Hair Growth Treatment, 100 mL.&nbsp; The spray bottles are silver with a blue wraparound label and black cap. The bottles are packaged in a blue box and both the bottle and box have “TOMUM” and “Hair Growth Treatment” printed on labels located on their fronts.","The hair serum contains minoxidil, which must be in child-resistant packaging as required by the Poison Prevention Packaging Act. The hair serum’s bottles are not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 27,400",None reported,"Consumers should secure the recalled serum bottles out of sight and reach of children immediately and contact Belleka for a free replacement product, including two child-resistant bottles of serum (60 mL per unit). Consumers will be asked to dispose of the recalled product bottle and send a photo of the bottle in the trash to Belleka at&nbsp;tomumcs@gmail.com.",Sold Online At,Amazon.com from March 2025 through September 2025 for about $20.,,,"Belleka Inc, dba TOMUM, of China",China,Retailers:,"Chifengrongxiangshangmaoyouxiangongsi, dba Haircare Solution, of China; SOLUVIA LLC, of Brooklyn, New York, US; Xingchang Technology Co., Ltd., dba Xingchang, of China."
26-309,,5-Mar-26,,Unique Brands Com Recalls Forever 21 Pajama Pants Due to Risk of Serious Injury or Death from Burn Hazard; Violates Mandatory Flammability Standards for Children’s Sleepwear,Forever 21 Kids Disney Mickey Mouse Pajama Pants,"This recall involves Forever 21 Kids Disney Mickey Mouse Pajama Pants with black stripes. The pajama pants were sold in children’s sizes 5/6, 7/8, 9/10, 11/12 and 13/14. The size and “Forever 21” are printed on the red and black label at the waist of the pants. The pajamas pants have the item number 01334347 located on a sewn-in, side-seam label below the bar code.","The recalled children’s pajama pants violate the mandatory standards for flammability of children’s sleepwear, posing a burn hazard and risk of serious injury or death to children.",,,Refund,About 230,None Reported,Consumers should stop using the recalled pajama pants immediately and contact Unique Brands Com for a full refund. Consumers will be provided with a prepaid shipping label to return the recalled kids pajama pants.,Sold Online At,Forever21.com from September 2025 through November 2025 for about $25.,,,,China,Retailer:,"Unique Brands Com, Inc., of New York, New York"
26-288,,26-Feb-26,,Trankerloop Baby Bath Seats Recalled Due to Risk of Serious Injury or Death to Children from Drowning; Violates Mandatory Standard for Infant Bath Seats,Trankerloop Baby Bath Seats,"This recall involves&nbsp;Trankerloop-branded baby bath seats sold in blue, gray, pink and yellow. The bath seats have two detachable arms that serve as a restraint, four suction cups on the bottom, and come with a cup and a sponge. “PLASTIC STOOL” and “Model: YD-1958” are printed on a tracking label located on the back of the bath seat.","The recalled&nbsp;bath seats violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… bath seats because they are unstable and can tip over while in use, posing a risk of serious injury or death due to drowning.",,,Refund,"About 2,380",None reported,"Consumers should immediately stop using the recalled&nbsp;bath seats and contact Trankerloop for a full refund. Consumers will be asked to write “Recalled” on the front of the bath seat in permanent marker, disassemble the bath seat by removing the back rest and arm restraints, cut the four suction cups on the bottom and email a photo of the disassembled recalled bath seat showing the marked front of the seat to&nbsp;hkkll147@outlook.com.",Sold Online At,Amazon.com from August 2025 to October 2025 for about $36.,,,,China,Retailer:,"Shenzhenshirongmanshangmaoyouxiangongsi (Shenzhen Shi Ronmang Trading Co., Ltd.) dba Trankerloop, of China"
26-308,,26-Feb-26,,Evajoy Above-Ground Pools 48 Inches and Taller Recalled Due to Drowning Hazard; Manufactured by Shenzhen Danya Tech,Evajoy 48-inch and taller above-ground pools,"This recall involves all Evajoy above-ground pools 48 inches and taller. Models EJ-HF032, EJ-HF044, and EJ-HF045 are included in this recall. Model EJ-HF032 measures 16 feet in diameter by 48 inches in height. Model EJ-HF044 measures 18 feet in diameter by 52 inches in height. Model EJ-HF045 measures 24 feet in diameter by 52 inches in height. Model information and the Evajoy logo are printed on the liner on the outside of the pool.The recalled above-ground pools contain a compression strap (also referred to as a reinforcing belt) that wraps around the pool on the outside of the vertical support poles, and may create a foothold, allowing a child to access the pool and drown.Children can still gain access to the pools using these footholds even if the ladder is removed.CPSC’s website&nbsp;www.PoolSafely.gov has free, downloadable educational materials available to the public on pool safety including information on barriers, covers, alarms and other safety information.","The compression strap that surrounds the outside of the pool legs may create a foothold, allowing a child access to the pool, posing a drowning risk.",,,Repair,"About 4,000",None reported,"Consumers should contact Evajoy to request a free repair kit that removes the compression strap from the pool, while maintaining the structural integrity of the pool. In the interim, consumers should ensure that children cannot access the pool unattended or, alternatively, drain the pool until the repair can be installed.",Sold Online At,"Amazon.com from March 2023 through June 2024 for between $550 and $1,050 depending on the size and model of the pool and accessories purchased.",,"Shenzhen Danya Tech Co., Ltd. d/b/a Evajoy, of China",,China,,
26-307,,26-Feb-26,,Babysense Max View Baby Monitors Recalled Due to Fire Hazard; Manufactured by Hisense Ltd. of Israel,Babysense Max View Baby Monitors,"This recall involves the Babysense Max View Baby Monitor with model number VBM55. The reported issue involves the display unit (also referred to as the parent unit) that allows the parents to see and hear the baby (not the camera component that is placed in the child’s bedroom). The display unit has “5.5” HD 1080P” printed on the upper left side of the monitor screen and the “babysense” logo on the lower portion of the monitor screen. The model number, “VBM55RX,” is printed on the product identification label on the back of the display unit.Note: Do not throw this recalled device in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The display or “parent” unit of the Max View baby monitors can overheat and/or spark when charging, posing a fire hazard to consumers.",,,Replace,"About 81,800",Hisense has received 11 reports of incidents involving the display unit for the Babysense Max View Baby Monitors. No injuries have been reported.,Consumers should stop using the display unit of the Max View baby monitors immediately and contact Hisense for a free replacement display unit that does not pose a fire hazard.,Sold Online At,"Amazon.com, Walmart.com, and babylist.com from January 2023 through December 2025 for between $90 and $180.",,"Hisense Ltd., of Israel",,China,,
26-306,,26-Feb-26,,Andersen Windows Recalls Window Opening Control Devices Sold as Kits or Installed on 100 Series Casement Windows Due to Fall and Serious Injury Hazards,Window opening control devices sold as kits or installed on 100 Series casement windows,"This recall involves window opening control devices sold individually as kits or as factory-installed accessories and applied to 100 Series casement windows that were manufactured prior to November 19, 2025. Consumers can contact Andersen Windows and share the Product ID number on the label on the upper right corner of the window to determine if the unit is included in the recall.&nbsp;&nbsp;","The window opening control devices can break or detach&nbsp;after accidental or other impact, allowing the window to be opened, posing fall and serious injury hazards.",,,Repair,"About 91,000 (In addition, about 180 were sold in Canada)","The firm has received eight reports of the devices breaking, detaching or malfunctioning. No injuries have been reported.",Consumers should leave the recalled windows with the opening control devices in the closed and locked position and immediately contact Andersen Windows to schedule a free in-home repair by an authorized technician. Consumers should submit a request for the repair to:&nbsp;www.andersenwindows.com/100seriescasementwocdrecall&nbsp;,Sold At,Independent window distributors and online at parts.andersenwindows.com from October 2015 through December 2025 for between $9 (individual kit) and $220 (factory installed on 100 series casement window).,,,"Andersen Windows, Inc., of Bayport, Minnesota",United States,,
26-305,,26-Feb-26,,SumDirect LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Consumer Products with Button Cell Batteries,SumDirect LED Mini Lights,This recall involves SumDirect-branded LED mini lights. The recalled blinking lights rotate and have a built-in loop for hanging. Each of the 24 multicolored lights includes three preinstalled LR41 button cell batteries.,"The recalled LED lights violate the mandatory standard for consumer products containing button cell or coin batteries because they contain button cell batteries that can be accessed easily by children, posing an ingestion hazard. Additionally, the LED lights do not have the warnings as required by https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Reese’s Law. When button cell and coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 1,600",None reported,"Consumers should immediately stop using the recalled LED lights, place them in an area that children cannot access and properly dispose of the batteries. Contact SumDirect for a full refund. Consumers will be asked to send a photo of the product in the trash to recall@dgfuxin.cn.Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;",Sold Online At,Amazon.com from January 2016 through November 2025 for about $23.,,,,China,Retailer:,"Dongguan Fuxin E-Commerce Co., Ltd., dba SumDirect, of China"
26-304,,26-Feb-26,,Todson Recalls Concord Bicycle Helmets Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets,Concord 360 Degree Rechargeable Light-Up Bike Helmets,"This recall involves Concord-branded 360 Degree Rechargeable Light-Up bike helmets. The helmets were sold in size large (L), fitting a head circumference of about 22.8 to 24 inches. The helmets have a black exterior with a built-in LED lighting system, black straps, black buckle, and have a black plastic knob at the back of the helmet for adjusting the fit. “Concord” is printed on the back of the helmet.&nbsp;","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the retention system and positional stability requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 40,245  ",None reported,"Consumers should immediately stop using the recalled Concord Helmets and contact Todson for a full refund. Consumers should destroy the recalled helmets by cutting the straps off the helmets. Consumers can send photos of the helmet with the straps cut off to&nbsp;360concordhelmet@todson.com to obtain a refund.&nbsp;Note:&nbsp;Do not throw this recalled helmet with a lithium-ion battery in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts lithium-ion batteries. If it does not, contact your municipality for further guidance. You can also visit&nbsp;Todson.com/360-concord-recall for more information on potential disposal locations.",Sold At,Walmart stores nationwide and online at Walmart.com from January 2025 through September 2025 for about $30.,"Todson, Inc., of Foxboro, Massachusetts",,,China,,
26-303,,26-Feb-26,,Joyreal Busy Board Children’s Toys Recalled Due to Risk of Serious Injury or Death from Choking and Laceration Hazards; Violate Small Parts Ban and Mandatory Standard for Toys; Sold on Amazon by Indream Store,Joyreal Busy Board Toys,"This recall involves Joyreal-branded busy board toys. The children’s toys consist of a wooden base that measures about 6.6 inches long by 6 inches wide and have 18 led lights, a power switch, a light brightness knob, a mirror, two keys, an electrical cable and a hand crank to generate power. The Joyreal logo and “POWER” are written on the front of the toy, and “SKU: MX049-3” and “Series no.20250730” are written on the underside of the toy.","The recalled children’s toys violate the&nbsp;https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fcpsc… parts ban because the small mirror can detach from the toy, posing a deadly choking hazard. In addition, the toys violate the mandatory&nbsp;https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fcpsc… for toys because the toy’s mirror has sharp edges, posing a laceration hazard.&nbsp;&nbsp;",,,Refund,About 210 ,None reported,"Consumers should stop using the recalled toys immediately, take them away from children and contact Indream Store for a full refund. Consumers will be asked to destroy the busy board by writing “RECALLED” with permanent marker on the front of the toy and send a photo of the destroyed toy to&nbsp;indreamrecall@outlook.com. Consumers should then dispose of the recalled product.&nbsp;",Sold Online At,Amazon.com from September 2025 through November 2025 for about $20.,,,,China,Retailer:,"Guangzhou Mengli Trading Co., Ltd., dba&nbsp;Indream Store, of China"
26-302,,26-Feb-26,,Zelbuck Children’s Chess Games Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Sold on Amazon by n b plus,Zelbuck Magnetism Ball Game Toys,"This recall involves Zelbuck-branded children’s chess games. The recalled, blue turtle-shaped games have a white playing board at the top and come with a multi-colored spinner and 32 black magnetic balls that can be stored under the playing board. “Magnetism Ball Game” is printed on the front of the game’s box and “Number 999-9” on the back.&nbsp;","The recalled children’s chess games violate the&nbsp;https://www.federalregister.gov/documents/2024/01/18/2024-00741/safety-… standard for toys because they contain loose magnets posing an ingestion hazard to children. When high-powered magnets are swallowed, they can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,About 200,None reported,"Consumers should stop using the recalled games immediately, take them away from children and contact n b plus for a full refund. Consumers will be asked to write “RECALLED” in permanent marker on the games and send a photo of the marked games to&nbsp;zelbuckrecall@sina.com. Consumers should then dispose of the recalled product.",Sold Online At,Amazon.com from October 2025 through November 2025 for about $14.,,,,China,Retailer:,"&nbsp;ShenZhenShiGuWangChuanShuoKeJiYouXianGongSi (Shenzhen Guwang Legend Technology Co., Ltd.), dba n b plus, of China"
26-301,,26-Feb-26,,TheKiddoSpace Recalls Children’s Sensory Swing Due to Risk of Serious Injury or Death from Strangulation,TheKiddoSpace Children’s Sensory Swing,"This recall involves TheKiddoSpace’s sensory swing. The recalled children’s swing consists of a stretchable, cocoon-style hammock made of soft fabric, intended to be suspended indoors for therapeutic or recreational use. The swings were sold in green, gray, blue and pink and in themed prints: ocean, jungle, space and fairytale. The swings included installation hardware (mounting kit with carabiners, screws, ceiling plate, daisy chain straps and rope) and a white washing bag and were packaged in a blue drawstring storage bag. TheKiddoSpace logo is printed on the front of the storage bag.&nbsp;","The recalled swing’s flexible fabric can form loops that can entangle a child’s head or neck, posing a risk of serious injury or death from strangulation.&nbsp;",,,Refund,About 140,None reported,"Consumers should stop using the recalled swings immediately, take them away from children and contact TheKiddoSpace for a full refund. Consumers will be asked to destroy the swing by cutting the fabric in half and to send a photo of the destroyed swing to&nbsp;info@thekiddospace.com. Consumers should then dispose of the destroyed swing.&nbsp;",Sold Online At,TheKiddoSpaceStore.com from November 2023 through February 2025 for between $50 and $80.,"SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware ",,,China,,
26-300,,26-Feb-26,,TheKiddoSpace Recalls Children’s Christmas Tree Play Sets Due to Risk of Injury from Lead Exposure; Violates Federal Lead Content Ban and Mandatory Standard for Toys,Children’s Christmas Tree Toy Play Sets,"This recall involves TheKiddoSpace-branded children’s Christmas tree toy play sets. The recalled felt play sets consist of a two-sided Christmas tree that measures about 40 inches high and 28 inches wide, holiday-themed felt ornaments, including one that reads “Merry Christmas”, and a storage box. TheKiddoSpace logo and “Christmas Tree” are printed on the front of the product packaging.","The zipper pull on the music box compartment of the recalled Christmas Tree Toys contain levels of lead that exceed the federal https://cpsc.gov/Business--Manufacturing/Business-Education/Lead/Total-… content ban. Lead is toxic if ingested by young children and can cause adverse health issues. Additionally, the Christmas tree component fails to comply with various https://cpsc.gov/Business--Manufacturing/Business-Education/Toy-Safety""… and electrical requirements for battery-operated toys.",,,Replace,About 300,None reported.,"Consumers should stop using the recalled play sets immediately, take them away from children, and contact TheKiddoSpace for a free replacement toy of at least equal value to the purchase price of the recalled play set, including free shipping. Consumers will be asked to write “RECALLED” on the tree and submit a photo of the marked product to info@thekiddospace.com. Consumers should then discard the tree and storage box in accordance with their local waste disposal requirements.",Sold Online At,TheKiddoSpaceStore.com from November 2023 through February 2025 for between $13 and $40.,"SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware",,,China,,
26-299,,26-Feb-26,,TheKiddoSpace Recalls Peg Doll Children’s Toys Due to Risk of Serious Injury or Death from Choking Hazard; Violate Small Parts Ban,TheKiddoSpace Peg Dolls in Cups Toys,This recall involves TheKiddoSpace-branded peg dolls in cups toys. The children’s toys consist of seven rainbow-colored wooden peg figures with a matching cup and a circular natural wood tray. TheKiddoSpace logo and “Peg Dolls in Cups” are printed on the toy’s blue box.,"The recalled toys are intended for children under three years old and the toy’s peg dolls can block a child’s airway, which violate the https://cpsc.gov/Business--Manufacturing/Business-Education/Business-Gu… parts ban, posing a risk of choking and death to children.",,,Refund,About 40,None reported,"Consumers should stop using the recalled toys immediately, take them away from children and contact TheKiddoSpace for a full refund. Consumers will be asked to write “RECALLED” in permanent marker on the pieces and send a photo of the marked toys to&nbsp;info@thekiddospace.com. Consumers should then dispose of the toys.",Sold Online At,TheKiddoSpaceStore.com from July 2023 through February 2025 for about $30.,"SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware",,,China,,
26-298,,26-Feb-26,,TheKiddoSpace Recalls LED Soccer Hover Balls Due to Serious Risk of Injury from Burn Hazard; Violates Mandatory Standard for Toys,TheKiddoSpace LED Soccer Hover Balls,"This recall involves TheKiddoSpace-branded LED soccer hover balls. The recalled plastic soccer balls are black and white and have foam bumpers. TheKiddoSpace logo, “HOVER LED SOCCER BALL” and “GLIDE INTO FUN!” are printed on the front of the product packaging. Only the small hover balls that measure about 5.5 inches in diameter are included in this recall.","The surface temperature of the recalled toys’ batteries exceeds the allowable limit, which violates the&nbsp;https://cpsc.gov/Business--Manufacturing/Business-Education/Toy-Safety""… for toys, posing a risk of burn injuries.",,,Replace,About 650,TheKiddoSpace has received three reports of a burning smell coming from the hover ball when in use. No injuries have been reported.,"Consumers should stop using the recalled balls immediately, take them away from children and contact The KiddoSpace to receive a free replacement LED soccer hover ball, including shipping. Consumers will be asked to write “RECALLED” in permanent marker on the ball and send a photo of the marked ball to&nbsp;info@thekiddospace.com. Consumers should then dispose of the ball in accordance with their local waste disposal requirements.",Sold At,Received by consumers as promotional giveaways from December 2024 through February 2025.,"SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware",,,China,,
26-297,,26-Feb-26,,TheKiddoSpace Recalls Children’s Montessori Egg Puzzle Toys Due to Risk of Serious Injury or Death from Choking Hazard,TheKiddoSpace Children’s Montessori Egg Toys,This recall involves TheKiddoSpace-branded Montessori children’s puzzle egg toys. The recalled toys consist of six or 12 white plastic eggs that split in two and come in a yellow storage case. Each egg half has a different colored geometric shape that only fits with its matching pair.,"The recalled toys are intended for children under three years of age and the eggs can block a child’s airway, posing a risk of choking and death to children.",,,Refund,About 200,None reported,"Consumers should stop using the recalled toys immediately, take them away from children and contact TheKiddoSpace for a full refund. Consumers will be asked to write “RECALLED” in permanent marker on the toy and send a photo of the marked toy to&nbsp;info@thekiddospace.com. Consumers should then dispose of the toy.",Sold Online At,TheKiddoSpaceStore.com from June 2023 through February 2025 for between $20 and $30.,"SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware",,,China,,
